Location,Description,Unit,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,Personal income (thousands of dollars) ,Thousands of dollars,172101458,173720680,179487109,187474744,190871820,197963769,205674190,215165840,230872566,252791890,258362172
Alaska,Personal income (thousands of dollars) ,Thousands of dollars,38997090,38565077,40642115,41918639,41285498,41919375,43522749,44507583,45366320,48207950,50349667
Arizona,Personal income (thousands of dollars) ,Thousands of dollars,236431415,242030312,253711620,267474059,279696749,297261506,315458961,337214074,374311796,409885700,430083534
Arkansas,Personal income (thousands of dollars) ,Thousands of dollars,107007376,107209282,113171547,116632432,119758840,123825419,128970824,131439239,142111663,156361458,160254175
California,Personal income (thousands of dollars) ,Thousands of dollars,1814763034,1840885251,1955718006,2097049575,2191138011,2295048653,2411055136,2537950599,2767521379,3013676929,3006647281
Colorado,Personal income (thousands of dollars) ,Thousands of dollars,236032969,247816736,268453081,279696008,283678694,303366730,328112736,351373238,375157839,417967655,442213009
Connecticut,Personal income (thousands of dollars) ,Thousands of dollars,229133085,223834328,233084021,239184854,243698710,249451101,260582194,267552755,278373604,292370938,300750748
Delaware,Personal income (thousands of dollars) ,Thousands of dollars,40122555,40677771,42422891,44626257,45928401,48077134,51150363,52740700,55338407,59172329,64406597
Florida,Personal income (thousands of dollars) ,Thousands of dollars,794071056,794604073,848535336,905450458,938985637,1011002173,1078010586,1145460767,1221121559,1376879460,1441598918
Georgia,Personal income (thousands of dollars) ,Thousands of dollars,369040241,374124564,398585712,423242013,441039056,467592473,491087953,516552121,552248854,606113593,617552988
Hawaii,Personal income (thousands of dollars) ,Thousands of dollars,61161571,61983441,65182153,68200770,70744808,73646392,75266429,78551759,82761296,88947977,88973337
Idaho,Personal income (thousands of dollars) ,Thousands of dollars,55719818,57790643,60896989,64564307,67294067,71472616,76529572,83019410,91888534,103113985,109775862
Illinois,Personal income (thousands of dollars) ,Thousands of dollars,593814193,605681569,629464961,657080243,664686807,685632726,722686574,741717231,787487784,853520944,851243089
Indiana,Personal income (thousands of dollars) ,Thousands of dollars,256284678,259534763,269159112,279385736,287275158,297990490,313127221,326386659,351106590,387919266,398522647
Iowa,Personal income (thousands of dollars) ,Thousands of dollars,131136968,133435138,137733486,142521151,143839853,147911455,154686050,158118510,167778898,185621741,192742369
Kansas,Personal income (thousands of dollars) ,Thousands of dollars,129849699,132518967,134773890,136189131,136753558,141311803,147407425,152926216,161704652,172070983,177474668
Kentucky,Personal income (thousands of dollars) ,Thousands of dollars,156564902,157905375,164862106,172269382,175275581,180836063,186931085,195419696,211966801,232362631,234281888
