Location,Person Offenses 2020,Person Offenses 2021,Person Offenses 2022,Property Offenses 2020,Property Offenses 2021,Property Offenses 2022,Society Offenses 2020,Society Offenses 2021,Society Offenses 2022
Total,2235280,2939412,3456189,5371269,6531976,7849624,1273179,1620563,1860969
Alabama,4384,70855,76654,7981,122274,130599,3235,30075,49895
Arizona,18440,45372,58118,47284,104648,127557,18239,34213,45976
Arkansas,63893,66379,64358,135509,123785,119718,35720,38618,34483
Colorado,64221,70645,72319,257623,295735,284165,31282,34379,37505
Connecticut,27833,31205,31418,78197,84370,88162,10780,10693,10515
Delaware,16154,16740,16578,37244,40185,38855,12934,12571,13056
Georgia,99961,123610,134475,207820,243173,264972,39015,54557,56104
Hawaii,9376,11661,13870,32730,35378,38681,3280,3019,4227
Idaho,16972,17815,19073,33036,31407,32343,23704,27036,28238
Illinois,5688,91087,163645,9018,156781,313085,1135,17855,34093
Indiana,55303,67873,74029,112587,123469,125037,36414,50117,48145
Iowa,30872,32743,29140,84304,74513,64022,24306,23455,23165
Kansas,42607,37482,45701,98226,85034,97016,30538,30757,32479
Kentucky,47887,48846,44610,119694,114954,100000,44912,47562,41719
Louisiana,22995,56353,60879,46064,112262,126599,14814,40033,44683
Maine,8338,13310,13056,16795,26094,26621,3170,4796,4277
Maryland,8176,27379,59862,41063,64600,141602,4136,9629,26943
Massachusetts,68909,72253,74878,165200,134009,137461,13306,15412,14347
Michigan,155110,161963,164531,233949,232118,252945,42974,47520,43762
Minnesota,32600,50619,49649,126006,189416,177765,22778,38135,35639
Mississippi,16843,23436,23446,37173,47697,46673,13881,20233,18502
Missouri,58458,84290,86566,149808,205063,217981,46084,66992,62643
Montana,13630,15993,15469,35743,35096,33707,7558,6103,5425
Nebraska,9247,17001,17645,19921,36284,37642,8633,16597,15949
Nevada,25667,67066,66653,45727,115149,121232,11716,30287,28333
New Hampshire,14913,14803,15448,29785,27923,28486,7604,7289,7135
New Mexico,25958,28139,39872,65205,68916,99041,7893,8402,13025
New York,11872,36803,50087,32635,85284,117908,3124,6720,9474
North Carolina,128459,143884,149418,332136,337746,345497,100119,111936,112904
North Dakota,10769,13075,12417,25555,26333,24848,12993,13892,13226
Ohio,148955,154750,163545,272856,288592,305310,61965,74351,73808
Oklahoma,36790,62154,66170,101728,150315,144894,19795,33260,34764
Oregon,38223,40502,41715,168615,172886,186210,22389,15389,13352
Pennsylvania,264,31764,67815,722,75149,161382,267,10321,34259
Rhode Island,9246,9192,9334,25454,24698,25159,3557,3904,3167
South Carolina,94085,93278,96360,208447,191881,190908,57106,58770,61494
South Dakota,13416,13290,13812,26791,21932,23632,13759,11866,11267
Tennessee,144313,146650,143204,263150,241615,253273,93872,105759,98354
Texas,357801,465503,467425,785751,946717,999574,155180,220310,227626
Utah,33720,37427,39497,111324,107749,105136,39485,43979,45967
Vermont,3988,4045,4224,12495,13817,15882,1397,1386,1281
Virginia,98675,102759,109467,220981,221013,252769,74071,53228,51427
Washington,78988,82643,89785,356395,357551,402332,30852,16024,17058
West Virginia,14608,14435,13813,31880,30705,27946,12779,13520,10509
Wisconsin,44398,48549,50315,117910,131390,126511,49165,60506,62143
Wyoming,1213,5867,6105,1687,10750,10699,855,4094,3884
